################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 27-Feb-2019 08:18:50 by sysop@pitondescalumets
# COPYRIGHT: 2019, IPGP
################################################################################
#
year month day hour minute second SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2019 01 10 11 59 00 158751.915276 35996.836380 128095.598539
2019 01 11 11 59 00 158751.863904 35996.717234 128095.505327
2019 01 12 11 59 00 158751.996909 35996.750378 128095.482837
2019 01 13 11 59 00 158751.957909 35996.743531 128095.518374
2019 01 14 11 59 00 158751.958038 35996.798548 128095.514109
2019 01 15 11 59 00 158751.851976 35996.750694 128095.454163
2019 01 16 11 59 00 158751.895801 35996.785595 128095.398676
2019 01 17 11 59 00 158751.942195 35996.756168 128095.536250
2019 01 18 11 59 00 158751.937279 35996.724287 128095.150278
2019 01 19 11 59 00 158752.141281 35996.742813 128095.445060
2019 01 20 11 59 00 158751.948366 35996.784858 128095.464676
2019 01 21 11 59 00 158751.908970 35996.760052 128095.473311
2019 01 22 11 59 00 158751.897641 35996.698446 128095.478303
2019 01 23 11 59 00 158751.943152 35996.741027 128095.485875
2019 01 24 11 59 00 158752.054688 35996.717454 128095.511013
2019 01 25 11 59 00 158752.005205 35996.779687 128095.321072
2019 01 26 11 59 00 158751.891013 35996.826976 128095.679955
2019 01 27 11 59 00 158752.017324 35996.882666 128095.581614
2019 01 28 11 59 00 158751.797471 35996.837383 128095.455986
2019 01 29 11 59 00 158752.031351 35996.765114 128095.580129
2019 01 30 11 59 00 158751.837102 35996.760990 128095.416706
2019 01 31 11 59 00 158752.223680 35996.801987 128095.698064
2019 02 01 11 59 00 158752.193271 35996.816578 128095.684906
2019 02 02 11 59 00 158752.163165 35996.846223 128095.666124
2019 02 03 11 59 00 158752.294998 35996.832249 128095.714567
2019 02 04 11 59 00 158752.349348 35996.783001 128095.688379
2019 02 05 11 59 00 158752.327673 35996.885722 128096.038442
2019 02 06 11 59 00 158752.557069 35997.066773 128096.214041
2019 02 07 11 59 00 158752.550953 35996.991204 128096.113230
2019 02 08 11 59 00 158752.641401 35997.010062 128096.247703
2019 02 09 11 59 00 158752.438652 35997.040412 128096.153291
2019 02 10 11 59 00 158752.885071 35997.088685 128096.354606
2019 02 11 11 59 00 158752.936790 35997.122107 128096.340876
2019 02 12 11 59 00 158752.665534 35997.117365 128096.019610
2019 02 13 11 59 00 158753.143387 35997.359272 128096.651308
2019 02 14 11 59 00 158753.099908 35997.278733 128096.567958
2019 02 15 11 59 00 158753.147068 35997.177277 128096.585631
